exploring all 2x2 states...

A = solved
B = cll yellow
C = cll colour neutral
D = face yellow
E = face colour neutral
F = dr white yellow
G = dr colour neutral
H = CBL or TCBL colour neutral
I = teg (including eg) colour neutral

--- all ---

moves         A         B         C         D         E         F         G         H         I
    0         0       644      3804      3883     22641      4979     14687    844121    322623
    1         0      3864     22476     23292    132744     10020     29280   2409798   1432237
    2         0     23180    129784    124270    626066     60352    175248    419856   1769152
    3         0    132631    651371    687978   2057908    322424    851040         0    149755
    4      1847    588384   1787884   1909008    832588   1380960   2066688         0         8
    5      9992   1675728   1061152    925344      1828   1693440    535680         0         0
    6     50136   1202688     17296         0         0    201600      1152         0         0
    7    227536     46656         8         0         0         0         0         0         0
    8    870072         0         0         0         0         0         0         0         0
    9   1887748         0         0         0         0         0         0         0         0
   10    623800         0         0         0         0         0         0         0         0
   11      2644         0         0         0         0         0         0         0         0

avg        8.76      5.10      4.03      3.97      2.97      4.44      3.78      0.88      1.48
tot     3673775   3673775   3673775   3673775   3673775   3673775   3673775   3673775   3673775

--- bar ---

moves         A         B         C         D         E         F         G         H         I
    0         0       644      3804      3883     22641      4969     14657    812237    322623
    1         0      3864     22476     23292    132744      9828     28704   2309652   1432237
    2         0     22988    128704    123662    622586     57328    166404    396496   1650597
    3         0    127751    627631    660198   1958384    311104    820104         0    112928
    4      1655    566140   1715660   1828766    780558   1315584   1974024         0         0
    5      9546   1605362   1004314    878584      1472   1623052    513468         0         0
    6     48156   1147588     15796         0         0    196520      1024         0         0
    7    218988     44048         0         0         0         0         0         0         0
    8    836724         0         0         0         0         0         0         0         0
    9   1810272         0         0         0         0         0         0         0         0
   10    590696         0         0         0         0         0         0         0         0
   11      2348         0         0         0         0         0         0         0         0

avg        8.75      5.09      4.02      3.97      2.95      4.44      3.78      0.88      1.44
tot     3518385   3518385   3518385   3518385   3518385   3518385   3518385   3518385   3518385

--- nobar ---

moves         A         B         C         D         E         F         G         H         I
    0         0         0         0         0         0        10        30     31884         0
    1         0         0         0         0         0       192       576    100146         0
    2         0       192      1080       608      3480      3024      8844     23360    118555
    3         0      4880     23740     27780     99524     11320     30936         0     36827
    4       192     22244     72224     80242     52030     65376     92664         0         8
    5       446     70366     56838     46760       356     70388     22212         0         0
    6      1980     55100      1500         0         0      5080       128         0         0
    7      8548      2608         8         0         0         0         0         0         0
    8     33348         0         0         0         0         0         0         0         0
    9     77476         0         0         0         0         0         0         0         0
   10     33104         0         0         0         0         0         0         0         0
   11       296         0         0         0         0         0         0         0         0

avg        8.84      5.18      4.22      4.11      3.32      4.40      3.82      0.95      2.24
tot      155390    155390    155390    155390    155390    155390    155390    155390    155390

